source	interaction	target
CALM3	-1	TRPC1
CALM1	-1	TRPC1
CALM2	-1	TRPC1
CAV1	1	TRPC1
DRD2	1	TRPC1
MDFI	-1	TRPC1
ITPR2	1	TRPC1
MARCKS	-1	TRPC1
GRM1	1	TRPC1
STIM1	1	TRPC1
TRPC1	1	TRPC3
TRPC3	1	TRPC1
TRPC1	1	TRPC4
TRPC4	1	TRPC1
TRPC1	1	TRPC5
TRPC5	1	TRPC1
TRPC1	-1	TRPC6
TRPC1	1	PKD2
PKD2	1	TRPC1
TRPC1	1	TRPV4
TRPV4	1	TRPC1
TRPC1	-1	TRPV6
CALM3	-1	TRPC3
CALM1	-1	TRPC3
CALM2	-1	TRPC3
CASR	1	TRPC3
EPOR	1	TRPC3
HOMER1	1	TRPC3
ITPR1	1	TRPC3
ITPR3	1	TRPC3
ASPH	1	TRPC3
ORAI1	1	TRPC3
PRKG1	-1	TRPC3
RNF24	-1	TRPC3
SRC	1	TRPC3
TRPM4	-1	TRPC3
PKD2	1	TRPC3
WNK4	-1	TRPC3
SLC9A3R1	1	TRPC4
RNF24	-1	TRPC4
CABP1	-1	TRPC5
NCS1	1	TRPC5
SESTD1	1	TRPC5
TRPC5	-1	TRPC6
CALM3	1	TRPC6
CALM1	1	TRPC6
CALM2	1	TRPC6
FYN	1	TRPC6
MX1	1	TRPC6
NPHS1	1	TRPC6
PRKG1	-1	TRPC6
NPHS2	1	TRPC6
RNF24	-1	TRPC6
SNF8	1	TRPC6
PRKG1	1	TRPC7
PKD2	1	TRPC7
CALM3	1	TRPV1
CALM1	1	TRPV1
CALM2	1	TRPV1
CNR1	-1	TRPV1
CDK5	1	TRPV1
FAF1	-1	TRPV1
GABARAP	1	TRPV1
KIF13B	1	TRPV1
PIRT	1	TRPV1
PRKACA	1	TRPV1
SRC	1	TRPV1
NTRK1	1	TRPV1
EGFR	1	TRPV3
CALM3	1	TRPV4
CALM1	1	TRPV4
CALM2	1	TRPV4
FYN	1	TRPV4
HCK	1	TRPV4
ITPR3	1	TRPV4
LCK	1	TRPV4
LYN	1	TRPV4
MAP7	1	TRPV4
PACSIN3	1	TRPV4
SRC	1	TRPV4
PKD2	1	TRPV4
YES1	1	TRPV4
BSPRY	-1	TRPV5
CALB1	1	TRPV5
CALM3	-1	TRPV5
CALM1	-1	TRPV5
CALM2	-1	TRPV5
KL	1	TRPV5
RAB11A	1	TRPV5
S100A10	1	TRPV5
TGM2	-1	TRPV5
MCOLN3	1	TRPV5
TRPV5	1	MCOLN3
TRPV6	1	TRPV5
TRPV5	1	TRPV6
CALM3	-1	TRPV6
CALM1	-1	TRPV6
CALM2	-1	TRPV6
FYN	1	TRPV6
KL	1	TRPV6
PDZD3	1	TRPV6
NIPSNAP1	-1	TRPV6
NUMB	-1	TRPV6
PTPN1	-1	TRPV6
RAB11A	1	TRPV6
RGS2	-1	TRPV6
S100A10	1	TRPV6
SRC	1	TRPV6
NYX	1	TRPM1
CALM3	1	TRPM2
CALM1	1	TRPM2
CALM2	1	TRPM2
EFHC1	1	TRPM2
PTPN13	-1	TRPM2
CALM3	1	TRPM4
CALM1	1	TRPM4
CALM2	1	TRPM4
RACK1	-1	TRPM6
PHB2	-1	TRPM6
TRPM6	1	TRPM7
RACK1	-1	TRPM7
HTR1B	1	TRPM8
OPRM1	-1	TRPM8
PRKACA	-1	MCOLN1
MCOLN2	1	MCOLN1
MCOLN1	1	MCOLN2
MCOLN1	1	MCOLN3
MCOLN2	1	MCOLN3
PRKCSH	-1	PKD2
KIF3A	1	PKD2
STX5	-1	PKD2
RACK1	-1	PKD2L2
CASP3	-1	EIF3J
CASP3	-1	ITGB4
MAPK14	1	MAPKAPK2
MAPKAPK2	1	HNRNPA0
TIA1	-1	GADD45A
HNRNPD	-1	GADD45A
MAPKAPK2	-1	PARN
HNRNPA0	1	GADD45A
JAK2	1	EPOR
ESPN	1	MYO15A
GJB6	1	GJB2
GJB2	1	GJB6
MAPK14	-1	TIAL1
PARN	1	GADD45A
NUMB	-1	NOTCH1
TIAL1	-1	GADD45A
ZIC1	-1	ATOH1
HES5	-1	ATOH1
ATOH1	1	HES5
MAPKAPK2	-1	ZFP36
JAG2	1	NOTCH1
DLL1	1	NOTCH1
SIX1	1	LFNG
SIX1	1	OTX2
SIX1	-1	DLX5
SIX1	1	OTX1
SIX1	-1	DACH2
MYO7A	1	PCDH15
PCDH15	1	MYO7A
GABPA	1	TXNRD1
GABPA	1	TXN
MAPK3	1	GABPA
MAPK1	1	GABPA
TUB	1	MAPK1
TUB	1	MAPK3
PROX1	-1	GFI1
GFI1	1	CDKN1C
KEAP1	-1	GABPA
PROX1	-1	ATOH1
GATA3	1	FGF10
IGF2BP1	1	BTRC
PAX3	1	DACH2
DACH2	1	PAX3
NFAT5	1	AKR1B1
FOXI1	1	PAX8
FGF3	1	FOXI1
NFAT5	1	SLC6A12
AKT1	1	CHUK
NFAT5	1	SLC5A3
CHUK	-1	NFKB1
PIK3R1	1	AKT1
CDC73	1	CPSF3
SYMPK	1	CSTF1
CASP3	1	ACIN1
CDKN1A	-1	CDK1
TP53	-1	PRC1
TP53	1	ATF3
TERF2	-1	ATM
MYCN	1	MCM6
MDM2	-1	RRM2B
ATR	1	XPA
MYCN	1	MCM4
MYCN	1	MCM5
MYCN	1	MCM2
MYCN	1	MCM3
E2F1	1	CDCA4
KLF2	-1	CXCR4
IGF1	1	IGF1R
CCL2	1	MMP14
MMP14	1	MMP2
ABL1	1	TP73
PRKDC	1	ABL1
MYCN	1	MCM7
MYCN	1	MCM8
ARNTL	1	CRY2
CRY2	-1	ARNTL
ARNTL	1	CRY1
CRY1	-1	ARNTL
NPAS2	1	PER2
NPAS2	1	PER1
ATAD2	1	ESR1
ATAD2	1	E2F1
PRKN	-1	CCNE1
PCNA	1	POLI
PRKN	-1	SEPTIN5
PCNA	1	POLH
MYCN	1	TP53
ATAD2	1	MYC
ATAD2	1	AR
USP7	1	MDM2
USP7	1	MDM4
RELA	-1	PTEN
E2F4	-1	RBL1
RBL2	1	E2F5
RBL2	1	E2F4
RNF8	1	H2AC20
MDC1	1	RNF8
PRKN	-1	RANBP2
PRKN	-1	PUF60
PRKN	-1	SNCAIP
DCLRE1C	1	XRCC4
PRKN	1	CTNNB1
PRKN	-1	JUN
PRKN	-1	HSPA1B
PRKN	-1	ATXN2
BACE2	1	APP
PRKN	-1	SNCA
BACE1	1	APP
XRCC4	1	PNKP
TP53BP1	1	HDAC4
ADAM10	1	APP
PREX2	-1	PTEN
PINK1	1	TRAP1
PTPRD	-1	STAT3
XRCC1	1	PNKP
PEBP1	1	RAF1
USP28	-1	FBXW7
CDK2	1	MYC
HBP1	-1	MYC
RPL11	-1	TRRAP
TRRAP	1	MYC
MYC	1	JAG2
FBXW7	-1	MYC
PAK1	1	PXN
CASP3	1	PRKDC
CASP3	-1	GSN
SMG1	1	UPF1
ATM	1	USP28
MAP2K4	1	MAPK8
ULK1	1	ATG13
ULK1	1	RB1CC1
MTOR	-1	ATG13
SH3GLB1	1	UVRAG
ATG13	1	RB1CC1
MTOR	-1	ULK2
BECN1	1	PIK3R4
TIAM1	1	RAC1
HRAS	1	TIAM1
ATG10	1	ATG12
MTOR	1	RPTOR
AKT1	-1	AKT1S1
DAPK1	-1	CAMKK2
DAPK1	-1	MAPK6
UVRAG	1	PIK3R4
ULK2	1	ATG13
UVRAG	1	BECN1
AKT1S1	-1	RPTOR
MTOR	-1	AKT1S1
ULK2	1	RB1CC1
ATG10	1	ATG5
ATG7	1	ATG3
HRAS	1	PLCE1
MAPK14	1	MAPKAPK5
MAPKAPK5	1	TP53
ATG5	1	ATG16L1
BNIP3	-1	BCL2
BNIP3	-1	BCL2L1
SPNS1	-1	BCL2
SPNS1	-1	BCL2L1
ATG4B	1	MAP1LC3B
CALM1	1	DAPK1
DAPK1	1	MCM3
SH3GLB1	1	PIK3C3
CAPN1	-1	BCL2
CAPN2	-1	BCL2
CAPN1	-1	BCL2L1
CAPN2	1	BID
CAPN1	1	BID
CASP3	-1	EIF4EBP1
CASP3	-1	SPTAN1
CASP3	-1	EIF4G1
CASP3	-1	BCAR1
CASP3	-1	EIF4G2
CASP3	-1	EIF4G3
CASP3	-1	BCL2
CASP2	1	CYCS
CASP2	1	DIABLO
CASP6	-1	NUMA1
CASP6	-1	VIM
CAPN2	-1	BCL2L1
CASP2	1	AIFM1
CASP2	1	RIPK1
CASP10	-1	RIPK1
CASP10	1	BID
TOPBP1	1	ATR
SGK1	1	KCNQ4
POU4F3	1	BDNF
ATOH1	1	POU4F3
POU4F3	1	GFI1
MYO15A	1	WHRN
SOX2	1	ATOH1
ATOH1	1	BARHL1
ADGRV1	-1	ADCY6
ID3	-1	ATOH1
ID2	-1	ATOH1
NOTCH1	1	PAX8
ID1	-1	ATOH1
KCNE1	1	KCNQ4
NOTCH1	-1	FOXI2
WNT1	-1	FOXI2
E2F1	1	BRCA1
TIRAP	1	MYD88
SIX1	1	PAX2
SIX1	-1	EYA1
FOXI1	1	SIX1
PDPK1	1	PRKCG
PDK1	1	PRKCG
JAG1	1	CDKN1B
E2F1	1	EZH2
E2F2	1	CCNB1
WNT1	1	JAG1
WNT1	1	NOTCH1
NOTCH1	1	WNT1
NOTCH1	-1	ATOH1
WNT1	1	DLX5
POU4F3	1	NTF3
NOTCH1	1	HES5
NOTCH1	1	SOX2
NOTCH1	1	BMP4
MYC	1	NME1
RALB	1	RALBP1
RALGDS	1	RALA
RALBP1	-1	CDC42
RALBP1	-1	RAC1
WNT1	1	GBX2
WNT1	1	PAX2
WNT1	1	PAX8
WNT1	1	HES1
JAG1	1	NOTCH1
NOTCH1	1	HES1
WNT1	1	SOX9
KIT	1	GRB2
SIX1	1	BMP4
SIX1	1	FGF10
SIX1	1	FGF3
EYA1	1	FGF3
KCNQ4	1	SLC26A5
PRKACG	1	KCNQ4
SIX1	1	GATA3
IKBKE	1	IRF7
ERBB2	1	GRB2
E2F1	1	PCNA
AKT2	1	CDKN1A
AKT1	-1	CDKN1B
VDR	1	CASP3
RAD18	1	RAD51C
PRKCG	1	RAF1
SFRP1	1	WNT4
SFRP2	-1	WNT1
MAB21L1	1	FOXE3
PAX6	1	CDH2
PAX6	1	SHROOM3
SFRP1	-1	WNT2
SFRP1	1	WNT1
PKNOX1	1	PAX6
PAX6	1	SFRP2
PAX6	1	SFRP1
PAX6	1	FN1
PAX6	1	MAB21L1
BIRC2	-1	CASP3
CASP2	1	BID
CASP3	1	CASP2
BBC3	-1	MCL1
MCL1	-1	BAK1
BIRC6	-1	CASP9
PMAIP1	-1	GMCL1
MCL1	-1	BCL2L11
CDH1	1	ARPC1B
MTOR	-1	ULK1
RHEB	1	MTOR
TSC2	-1	RHEB
TSC2	1	TSC1
ATG7	1	MAP1LC3B
RHOA	1	DIAPH1
AKT1	-1	TSC2
PMAIP1	-1	MCL1
RHOA	1	ROCK2
ATG7	1	ATG10
ATG7	1	ATG12
ATG12	1	ATG5
ATG3	1	MAP1LC3B
CAMKK2	1	PRKAG1
FOXO1	1	NOXA1
E2F6	-1	RBBP8
CASP3	-1	NUMA1
BCL2L2	-1	BIK
DYNLL1	-1	BCL2L11
CFLAR	-1	CASP10
CASP7	-1	VIM
CASP7	-1	TNFRSF1A
CASP7	-1	ITGB4
CASP3	-1	VIM
CASP8	1	CASP3
CASP10	1	CASP3
CASP3	-1	PXN
PPP1CA	1	BAD
CASP3	-1	PTK2
BCL2L11	-1	BCL2A1
BCL2L1	-1	APAF1
BCL2L11	1	VDAC1
BCL2L1	-1	VDAC1
BAK1	1	VDAC1
BAX	1	VDAC1
DAPK1	1	TP53
CDKN2A	-1	BCL2L1
SMAD2	1	DAPK1
UNC5B	1	PPP2R3B
RHEB	1	MLST8
ATG101	1	ATG13
PMAIP1	1	BAX
PRKCI	-1	BAD
MAPK8	-1	BCL2
DAPK1	1	PRKD1
MIB1	-1	DAPK1
DAPK1	1	BECN1
DAPK1	-1	STX1A
DAPK1	-1	RPS6
BBC3	-1	BCL2A1
BBC3	1	BAX
HRK	-1	BCL2L1
HRK	-1	BCL2
RHEB	-1	FKBP8
FKBP8	-1	MTOR
PMAIP1	-1	BCL2A1
PRKCZ	-1	FADD
PIDD1	1	CASP2
PIDD1	1	IKBKG
RPS6KA3	1	RPTOR
FAS	1	CASP8AP2
RPS6KA1	1	RPTOR
CASP8AP2	1	CASP8
MAP2K1	1	MAPK3
MAPK3	1	RPS6KA3
MAPK1	1	RPS6KA1
DAPK3	1	MYL9
MAPK1	1	RPS6KA3
MAPK1	1	DAPK1
SRC	-1	DAPK1
PTPRF	1	DAPK1
DAPK1	1	DAPK3
DAPK1	-1	TSC2
MAPK3	1	DAPK1
HSP90AA1	1	DAPK1
NEO1	1	DAPK1
RRAS	1	RAF1
UNC5B	1	DAPK1
RPS6KA1	-1	DAPK1
RPS6KA3	-1	DAPK1
RAF1	1	MAP2K1
GSN	1	ACTG1
DAPK3	1	NR3C1
DAPK3	1	PPP1R14A
DAPK3	-1	PPP1R12A
CTNNB1	-1	DAPK2
DAPK3	1	AR
ROCK1	1	DAPK3
PPP1R14A	-1	PPP1CA
DAPK1	-1	TLN1
TLN1	1	ITGB1
DAPK1	-1	ITGA3
DAPK1	1	CDKN2A
SMAD4	1	DAPK1
SMAD3	1	DAPK1
STAT3	1	WNT5A
ATM	1	MDC1
TP53	1	AIFM2
TP53	-1	ANLN
TP53	-1	ABCB1
TP53	1	ACTA2
TP53	1	ARID3A
TP53	1	ADGRB1
TP53	-1	APC
ELAVL1	1	SIRT1
CHEK2	1	ELAVL1
E2F3	1	CCNB1
CHEK1	1	WEE1
E2F1	1	EED
WNT5A	1	FZD2
PUF60	-1	MYC
PUF60	-1	FUBP1
AKT1	-1	CDKN1A
FUBP1	1	MYC
E2F3	1	CDKN2A
E2F4	-1	CLSPN
E2F2	1	CDKN2A
E2F1	1	CDT1
E2F1	1	CDKN2A
E2F2	1	PCNA
E2F6	-1	BRCA1
E2F6	-1	CBX5
UBE2T	1	FANCI
TP53	-1	DNMT1
SUMO1	1	PML
UBE2T	1	FANCD2
TP53	1	EGFR
MAPKAPK2	-1	CDC25A
TP53	1	EPHA2
CHEK1	-1	CDC25B
TP53	1	EDN2
MAPKAPK2	-1	CDC25C
TP53	1	EEF1A1
MAPKAPK2	-1	CDC25B
TP53	1	HTT
TP53	1	GPX1
TP53	1	GML
TP53	1	FANCC
TP53	1	HGF
ATM	1	SLX4
STAT1	1	FAS
STAT1	1	CDKN1A
NFE2L2	1	PRDX1
ATM	1	BID
KDM2B	1	PRDX4
KDM2B	1	NQO1
ATR	1	RBBP8
ATR	1	FANCI
E2F1	1	APAF1
CDK1	1	E2F1
E2F2	1	EED
MTOR	1	EIF4EBP3
MTOR	-1	EIF4EBP2
MAPKAPK2	-1	TSC1
TP53	1	BDKRB2
TP53	1	BID
MAP3K8	1	MAP3K14
IKBKB	-1	TSC1
TP53	1	BCL2L14
MAP3K8	1	MAP2K4
AKT1	-1	RICTOR
EIF4EBP2	-1	EIF4E
EIF4EBP1	-1	EIF4E
MTOR	-1	EIF4EBP1
EIF4EBP3	1	EIF4E
TP53	1	CCNK
BCL10	1	IKBKG
TP53	1	CASP6
TP53	1	CASP10
TP53	1	CASP1
MAP3K14	1	IKBKB
TP53	1	RGCC
TP53	1	BNIP3L
TP53	-1	BIRC5
TNIP1	1	IKBKG
E2F2	1	EZH2
E2F1	1	DBF4
CCNA2	1	E2F1
IL22	1	IL10RB
TP53	1	CD82
EPO	1	EPOR
TP53	-1	CDC25C
MAPKAPK2	-1	TSC2
TP53	1	CHMP4C
TP53	1	COL18A1
JAK2	1	STAT3
TP53	1	DKK1
TP53	1	DDR1
KSR2	-1	MAP3K8
CHEK2	1	TP53
NFKB1	-1	MAP3K8
TP53	1	CTSD
ATM	1	STK11
TP53	-1	CRYZ
TP53	1	DDIT4
HIPK2	1	TP53
TP53	1	CX3CL1
ATM	1	PPP2R5D
ATM	1	PPP2R5C
CASP1	-1	GAPDH
CXCL16	1	CXCR6
CASP1	1	IL37
CASP1	1	CASP7
GTF2I	1	CCND1
KLKB1	1	PRKAG1
CASP1	1	IL33
CCL3L1	1	CCR5
ASF1A	1	CHAF1B
TNFSF10	1	TNFRSF10C
MAP3K7	1	IKBKB
STK11	1	PRKAG1
ASF1B	1	CHAF1B
TNFRSF10A	1	TNFRSF10B
KAT8	1	H4-16
PARP1	-1	SUPT16H
TNFRSF10A	1	RIPK1
TNFRSF10B	1	RIPK1
NMI	1	STAT1
KRT18	-1	TRADD
MYC	-1	PMAIP1
ATM	1	ABL1
TNFRSF10A	1	TRADD
TNFRSF10B	1	TRADD
